Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Vehicles,Vehicles Per Day,Avg Hours Per Day Per Vehicle,Avg Minutes Per Trip
2021-06,FHV - High Volume,498685,-,57863,36925,6.9,19
2021-06,Green,2891,65832,975,531,4.2,20.5
2021-06,Yellow,94462,1623722,5646,4577,9.1,14.1
2021-05,FHV - High Volume,474809,-,56112,34404,6.9,18
2021-05,Green,2843,65571,952,517,4.3,20
2021-05,Yellow,80862,1355888,5238,4113,8.8,13.4
2021-04,FHV - High Volume,470377,-,53748,33360,7,17
2021-04,Green,2897,67893,928,515,4.4,20.1
2021-04,Yellow,71986,1182845,4924,3889,8.6,13
2021-03,FHV - High Volume,458946,-,51761,31639,7.1,17
2021-03,Green,2703,62416,932,483,4.4,18.9
2021-03,Yellow,61643,979152,4719,3652,8.3,12.3
2021-02,FHV - High Volume,414782,-,47272,28639,7.1,16
2021-02,Green,2305,52276,881,446,4.1,18.8
2021-02,Yellow,48499,755111,4496,3182,7.9,12.4
2021-01,FHV - High Volume,383951,-,47594,28584,6.9,15
2021-01,Green,2467,56409,982,491,4.1,17.4
2021-01,Yellow,44052,688808,4625,3256,7.5,11.6
2020-12,FHV - High Volume,375389,-,51548,32500,6.5,16
2020-12,Green,2681,60329,1087,560,3.9,18.1
2020-12,Yellow,47143,744814,5142,3757,7.4,12.4
2020-11,FHV - High Volume,386560,-,52960,34090,6.4,16
2020-11,Green,2953,66502,1106,610,4,18.2
2020-11,Yellow,50286,786221,5209,3868,7.5,12.4
2020-10,FHV - High Volume,427396,-,52290,33969,6.8,17
2020-10,Green,3067,68558,1117,605,4.1,18.4
2020-10,Yellow,54218,880037,5092,3728,8,12.6
2020-09,FHV - High Volume,403096,-,50391,31535,6.8,17
2020-09,Green,2932,66854,1100,575,4.1,18.6
2020-09,Yellow,44686,708390,4914,3258,7.6,12.6
2020-08,FHV - High Volume,357610,-,48680,28731,6.7,17
2020-08,Green,2614,62689,1128,545,4,18.7
2020-08,Yellow,32492,548766,4759,2790,6.9,12.6
2020-07,FHV - High Volume,320999,-,38380,21221,7.2,16
2020-07,Green,2330,54821,924,430,4.3,18.1
2020-07,Yellow,25819,439016,3806,1952,7.1,12.5
2020-06,FHV - High Volume,251696,-,30131,17665,7.1,16
2020-06,Green,2103,46850,850,408,4.1,17.5
2020-06,Yellow,18326,314473,2966,1554,6.7,12.4
2020-05,FHV - High Volume,196447,-,27881,16073,6.4,15
2020-05,Green,1850,38441,819,405,3.7,16.5
2020-05,Yellow,11237,206544,2613,1298,5.7,11.9
2020-04,FHV - High Volume,143762,-,22527,11544,6.1,13
2020-04,Green,1187,22524,669,278,3.4,14.5
2020-04,Yellow,7931,119152,2196,983,5.3,9.9
2020-03,FHV - High Volume,432027,-,75506,35735,6.1,16
2020-03,Green,7208,114041,2560,1248,4.4,15.2
2020-03,Yellow,97004,1620621,11318,6162,8.8,13
2020-02,FHV - High Volume,749129,-,78090,55139,6.6,17
2020-02,Green,13743,240816,2675,2006,5,15.4
2020-02,Yellow,217216,3556087,11418,10349,10.8,13.5
2020-01,FHV - High Volume,663524,-,79289,53607,6.2,17
2020-01,Green,13446,236992,2703,1997,5,15.3
2020-01,Yellow,206604,3403736,11435,10080,10.5,13.1
2019-12,FHV - High Volume,717517,-,80925,55797,6.5,18
2019-12,Green,11598,162078,2731,1834,4.4,13.6
2019-12,Yellow,220786,3806944,11478,10260,10.7,15
2019-11,FHV - High Volume,721170,-,81286,57241,6.5,19
2019-11,Green,12068,170328,2781,1904,4.5,13.8
2019-11,Yellow,227654,3872769,11431,10441,11,14.8
